Design,Cost,Utility to Science,Failed Downtime,Servicing Margin
406,0.713163538,0.597042823,0.064776257,0.144583643
407,0.917991465,0.010532096,0.026447191,0.138851501
408,0.345884291,0.385755271,0.070953515,0.371996273
409,0.324429702,0.383385209,0.083494633,0.440320774
410,0.06893588,0.199042859,0.50517415,0.326882712
411,0.077856658,0.330269718,0.523696039,0.49496908
412,0.442858118,0.353505972,0.026447191,0.263810322
413,0.366825818,0.22403028,0.047270791,0.275274606
414,0.788918687,0.051642389,0.037989018,0.091808401
415,0.346350275,0.41099662,0.059129901,0.386952552
416,0.073992218,0.168934327,0.426322304,0.370556178
417,0.66484984,0.666682899,0.063504856,0.211392751
418,0.15986972,0.649828625,0.574556631,0.250632983
419,0.437526867,0.311338302,0.026447191,0.350517211
420,0.21727566,0.225500772,0.119665857,0.311248741
421,0.053775691,0.240868401,0.531130517,0.329697015
422,0.139221792,0.589275522,0.511959567,0.351994955
423,0.091170665,0.536099279,0.74280897,0.251357737
424,0.397766221,0.018424613,0.116196698,0.155934979
425,0.037368076,0.137883302,0.473925095,0.443163314
426,0.017180825,0.120736613,0.660825779,0.397334413
427,0.022955123,0.017653415,0.185879305,0.7292904
428,0.000819931,0.001853896,0.308627896,0.783571624
429,0.131230903,0.616890734,0.53994931,0.210856245
430,0.395485507,0.350804287,0.026447191,0.335231498
431,0.028204582,0.134681734,0.540212824,0.375893
432,0.032921118,0.16912773,0.514749552,0.403424226
433,0.061169727,0.033054739,0.088179647,0.795242981
434,0.017876755,0.014154787,0.205515632,0.79180746
435,0.010105072,0.013193674,0.247971458,0.834238491
436,0.757642686,0.866927442,0.026447191,0.293619344
437,0.144066957,0.466677444,0.477125351,0.261221916
438,0.484373698,0.60385264,0.096532764,0.200239075
439,0.091283085,0.586946156,0.715034884,0.256242764
440,0.399252972,0.003503533,0.111715552,0.104872792
441,0.685028627,3.61E-06,0.039692015,0.076983895
442,0.39014853,0.310737574,0.026447191,0.352493811
443,0.184172093,0.159138603,0.113067189,0.410963546
444,0.040728751,0.117433632,0.433299509,0.470327457
445,0.314197513,0.129730813,0.047522158,0.347881743
446,0.022382729,0.083023541,0.578059018,0.405871446
447,0.130219285,0.029721069,0.026447191,0.783505737
448,0.070591264,0.015304133,0.073376413,0.819526934
449,0.0154043,0.001771675,0.2052505,0.823611909
450,0.105921653,0.012266497,0.041455055,0.804052973
451,0.056080988,0.001228993,0.092165542,0.828506349
452,0.015208807,0.001755304,0.210955092,0.850597216
453,0.059384575,0.192682115,0.516633918,0.37569534
454,0.782446222,0.035116035,0.038550511,0.051749292
455,0.173075777,0.658616703,0.533907462,0.20507704
456,0.719184703,0.041018941,0.049928261,0.094283859
457,0.317587594,0.364102626,0.06993933,0.377530755
458,0.084646487,0.289294275,0.469026892,0.416855699
459,0.359059452,0.203580908,0.047775163,0.297017215
460,0.153353731,0.049991242,0.026447191,0.73343185
461,0.629488147,0.632630522,0.06496896,0.229709251
462,0.577467489,0.618873168,0.075988396,0.216211892
463,0.612458409,0.030870561,0.065958855,0.096279284
464,0.736470343,0.007784243,0.039421515,0.140432781
465,0.488032774,7.39E-06,0.089716669,0.135528929
466,0.291611391,0.240960893,0.071197912,0.501840121
467,0.421605034,0.324377213,0.026447191,0.338196399
468,0.100951259,0.216892192,0.260465938,0.377756652
469,0.34161422,0.146594279,0.047459465,0.377267208
470,0.211227049,0.164404205,0.104749945,0.363054507
471,0.130100398,0.007160997,0.035505494,0.791873347
472,0.53867196,0.627557758,0.076268541,0.265259829
473,0.51754468,0.552567114,0.082483123,0.202507459
474,0.572625653,0.027196771,0.066526959,0.100430146
475,0.697356806,0.019848435,0.039326385,0.10439276
476,0.171893329,4.78E-06,0.312636601,0.106162288
477,0.696898587,0.0142534,0.038994713,0.041932174
478,0.433055974,0.010599484,0.096273697,0.080071158
479,0.180987731,0.280843757,0.144084804,0.563227695
480,0.163643726,0.152090024,0.164171858,0.380279171
481,0.21609026,0.124734967,0.090198206,0.36444754
482,0.083952115,0.092616987,0.27497474,0.428762366
483,0.194608474,0.127553625,0.103271957,0.411820073
484,0.093246434,0.018783938,0.052272657,0.75344258
485,0.110027413,0.025394967,0.040262538,0.793125194
486,0.075560955,0.0112455,0.06903657,0.836808072
487,0.590635342,0.676618414,0.064612799,0.228655064
488,0.219914282,0.577086662,0.298000095,0.23001986
489,0.506992247,0.622150408,0.085879287,0.248694032
490,0.220791011,0.610734067,0.301946974,0.273806274
491,0.423040466,0.010359076,0.100145786,0.105795205
492,0.164640962,0.000195878,0.326758647,0.116694747
493,0.43151488,7.29E-06,0.096686954,0.061905255
494,0.15878968,0.258124224,0.171040673,0.551688111
495,0.16978435,0.237326534,0.161152427,0.548233766
496,0.221462083,0.10250388,0.087029314,0.431106049
497,0.09046596,0.118312111,0.256924226,0.474431257
498,0.318141958,0.153933538,0.047377074,0.372325706
499,0.219147834,0.111430116,0.088199345,0.454486413
500,0.09227246,0.146952295,0.26024926,0.4402643
501,0.086831255,0.001464334,0.057738671,0.823414248
502,0.053407558,0.00593246,0.110035955,0.775646396
503,0.090358699,0.023260084,0.054764308,0.787336577
504,0.539295382,0.57614579,0.073227226,0.311286391
505,0.242870659,0.539652281,0.255602332,0.281364419
506,0.505974796,0.619063047,0.083203286,0.226358442
507,0.185038898,0.616277454,0.355710067,0.222066395
508,0.781027473,1.56E-05,0.026447191,0.056822567
509,0.694806097,0.001879196,0.038177326,0.131999285
510,0.424456346,4.57E-06,0.096542382,0.130681551
511,0.159489591,6.03E-06,0.325461515,0.111659121
512,0.693576499,1.76E-05,0.038002055,0.119283153
513,0.436637475,5.07E-05,0.092301611,0.121184455
514,0.166439992,0.201146223,0.155044119,0.535103489
515,0.275480941,0.341567792,0.067034275,0.533023352
516,0.268019934,0.242330436,0.069149757,0.567500918
517,0.123424436,0.217412849,0.226164061,0.603729187
518,0.21354737,0.115439644,0.088538128,0.392449385
519,0.09122876,0.083142449,0.244413512,0.452274503
520,0.314241689,0.142081271,0.046812658,0.408497501
521,0.203018398,0.0992512,0.094484666,0.47827151
522,0.073747872,0.112326077,0.30477106,0.392308199
523,0.130570122,0.029311497,0.026447191,0.772634432
524,0.115685939,0.029145449,0.035000258,0.793718174
525,0.094460271,0.010541385,0.049038445,0.794894722
526,0.109151482,0.018181157,0.03893294,0.772041452
527,0.080918587,0.008218131,0.060828808,0.820562296
528,0.732700018,0.723230431,0.083267625,0.348964167
529,0.391980893,0.552153689,0.25988837,0.353030317
530,0.706968036,0.605539002,0.065501658,0.170608887
531,0.676928318,0.665759482,0.072040592,0.226556103
